quote_date,0-35 days,36-50 days,50days-6months,6mons-1year,1YR-3yr,3YR-5YR,5YR-7YR,7YR-10YR,10YR-15YR,15YR-20YR,20YR and beyond,Row_Total
1953-04-30,0,0,0,0,0,0,0,0,0,0,1,1
1953-05-29,0,0,0,0,0,0,0,0,0,0,1,1
1953-06-30,0,0,0,0,0,0,0,0,0,0,1,1
1953-07-31,0,0,0,0,0,0,0,0,0,0,1,1
1953-08-31,0,0,0,0,0,0,0,0,0,0,1,1
1953-09-30,0,0,0,0,0,0,0,0,0,0,1,1
1953-10-30,0,0,0,0,0,0,0,0,0,0,1,1
1953-11-30,0,0,0,0,0,0,0,0,0,0,1,1
1953-12-31,0,0,0,0,0,0,0,0,0,0,1,1
1954-01-29,0,0,0,0,0,0,0,0,0,0,1,1
1954-02-26,0,0,0,0,0,0,0,0,0,0,1,1
1954-03-31,0,0,0,0,0,0,0,0,0,0,1,1
1954-04-30,0,0,0,0,0,0,0,0,0,0,1,1
1954-05-28,0,0,0,0,0,0,0,0,0,0,1,1
1954-06-30,0,0,0,0,0,0,0,0,0,0,1,1
1954-07-30,0,0,0,0,0,0,0,0,0,0,1,1
1954-08-31,0,0,0,0,0,0,0,0,0,0,1,1
1954-09-30,0,0,0,0,0,0,0,0,0,0,1,1
1954-10-29,0,0,0,0,0,0,0,0,0,0,1,1
1954-11-30,0,0,0,0,0,0,0,0,0,0,1,1
1954-12-31,0,0,0,0,0,0,0,0,0,0,1,1
1955-01-31,0,0,0,0,0,1,0,2,4,4,1,12
1955-02-28,0,0,0,0,1,1,0,2,4,4,2,14
1955-03-31,0,0,0,0,1,1,0,2,5,3,2,14
1955-04-29,0,0,0,0,1,1,0,2,5,3,2,14
1955-05-31,0,0,0,0,1,1,0,2,5,3,2,14
1955-06-30,0,0,0,0,1,1,1,1,5,3,2,14
1955-07-29,0,0,0,1,1,1,1,1,5,0,2,12
1955-08-31,0,0,0,1,1,1,1,1,4,0,2,11
1955-09-30,0,0,1,0,1,1,1,1,5,0,2,12
1955-10-31,0,0,1,0,1,1,1,1,5,1,2,13
1955-11-30,0,0,1,0,1,1,1,1,5,1,2,13
1955-12-30,0,0,1,0,1,1,2,0,5,1,2,13
1956-01-31,0,0,1,0,1,1,2,0,5,0,2,12
1956-02-29,1,0,0,0,1,1,2,0,5,1,2,13
1956-03-29,0,0,0,0,1,1,2,0,6,0,2,12
1956-04-30,0,0,0,0,1,1,2,0,6,0,2,12
1956-05-31,0,0,0,0,1,1,2,0,5,0,2,11
1956-06-29,0,0,0,0,1,1,2,0,4,0,2,10
1956-07-31,0,0,0,0,2,1,2,0,4,0,2,11
1956-08-31,0,0,0,2,0,1,2,0,4,0,2,11
1956-09-28,0,0,0,2,1,0,2,0,2,0,2,9
1956-10-31,0,0,0,2,1,0,2,0,3,0,2,10
1956-11-30,0,0,0,2,1,0,2,0,5,0,2,12
1956-12-31,0,0,0,2,1,0,2,0,5,0,2,12
1957-01-31,0,0,0,1,1,0,2,0,5,0,2,11
1957-02-28,0,0,2,0,1,0,2,0,5,0,2,12
1957-03-29,0,0,2,0,1,0,2,0,4,0,2,11
1957-04-30,0,0,2,0,1,0,2,0,4,0,2,11
1957-05-31,0,0,2,0,1,0,2,0,4,0,2,11
1957-06-27,1,1,0,0,1,1,1,1,3,0,2,11
1957-07-31,0,0,0,0,1,1,1,1,1,0,2,7
1957-08-30,0,0,0,0,1,1,1,1,2,0,2,8
1957-09-30,0,0,0,0,1,1,1,1,5,0,2,11
1957-10-31,0,0,0,0,1,1,1,1,5,0,2,11
1957-11-29,0,0,0,0,1,1,1,1,6,1,2,13
1957-12-31,0,0,0,0,1,2,0,1,6,1,2,13
1958-01-31,0,0,0,0,1,2,0,1,6,1,1,12
1958-02-28,0,0,0,0,1,2,0,1,6,1,3,14
1958-03-31,0,0,0,0,1,2,0,1,6,1,3,14
1958-04-30,0,0,0,0,1,2,0,1,5,1,3,13
1958-05-29,0,0,0,0,1,2,0,1,5,1,3,13
1958-06-30,0,0,0,0,1,2,0,1,5,1,4,14
1958-07-31,0,0,0,0,1,2,0,1,5,1,4,14
1958-08-29,0,0,0,0,0,2,0,1,5,1,4,13
1958-09-30,0,0,0,0,0,2,0,1,4,1,4,12
1958-10-31,0,0,0,0,0,2,0,1,5,1,3,12
1958-11-28,0,0,0,0,0,2,0,1,5,1,3,12
1958-12-31,0,0,0,0,0,2,0,2,4,1,3,12
1959-01-30,0,0,0,0,0,2,0,2,4,1,4,13
1959-02-27,0,0,0,0,0,2,0,2,3,1,4,12
1959-03-31,0,0,0,0,0,2,0,2,4,1,4,13
1959-04-30,0,0,0,0,0,2,0,2,4,1,4,13
1959-05-29,0,0,0,0,0,2,0,2,4,1,4,13
1959-06-30,0,0,0,0,1,1,0,3,3,1,5,14
