quote_date,0-35 days,36-50 days,50days-6months,6mons-1year,1YR-3yr,3YR-5YR,5YR-7YR,7YR-10YR,10YR-15YR,15YR-20YR,20YR and beyond,Row_Total
1930-12-31,0,1,0,0,0,0,0,0,0,0,0,1
1931-01-31,1,0,0,0,0,0,0,0,0,0,0,1
1931-02-28,0,0,3,0,0,0,0,0,0,0,0,3
1931-03-31,2,1,0,0,0,0,0,0,0,0,0,3
1931-04-30,1,0,3,0,0,0,0,0,0,0,0,4
1931-05-29,2,1,4,0,0,0,0,0,0,0,0,7
1931-06-30,3,2,1,0,0,0,0,0,0,0,0,6
1931-07-31,3,0,3,0,0,0,0,0,0,0,0,6
1931-08-31,1,1,6,0,0,0,0,0,0,0,0,8
1931-09-30,3,2,3,0,0,0,0,0,0,0,0,8
1931-10-31,4,0,4,0,0,0,0,0,0,0,0,8
1931-11-30,1,1,6,0,0,0,0,0,0,0,0,8
1931-12-31,3,2,3,0,0,0,0,0,0,0,0,8
1932-01-30,5,0,3,0,0,0,0,0,0,0,0,8
1932-02-29,1,1,4,0,0,0,0,0,0,0,0,6
1932-03-31,2,2,3,0,0,0,0,0,0,0,0,7
1932-04-30,4,0,4,0,0,0,0,0,0,0,0,8
1932-05-31,1,2,5,0,0,0,0,0,0,0,0,8
1932-06-30,3,2,3,0,0,0,0,0,0,0,0,8
1932-07-30,4,0,4,0,0,0,0,0,0,0,0,8
1932-08-31,1,2,5,0,0,0,0,0,0,0,0,8
1932-09-30,3,2,3,0,0,0,0,0,0,0,0,8
1932-10-31,4,0,4,0,0,0,0,0,0,0,0,8
1932-11-30,1,2,5,0,0,0,0,0,0,0,0,8
1932-12-31,3,2,3,0,0,0,0,0,0,0,0,8
1933-01-31,4,0,4,0,0,0,0,0,0,0,0,8
1933-02-28,1,2,4,0,0,0,0,0,0,0,0,7
1933-03-31,3,2,5,0,0,0,0,0,0,0,0,10
1933-04-29,4,1,6,0,0,0,0,0,0,0,0,11
1933-05-31,4,2,6,0,0,0,0,0,0,0,0,12
1933-06-30,5,2,5,0,0,0,0,0,0,0,0,12
1933-07-31,5,1,6,0,0,0,0,0,0,0,0,12
1933-08-31,4,2,6,0,0,0,0,0,0,0,0,12
1933-09-30,5,2,5,0,0,0,0,0,0,0,0,12
1933-10-31,4,2,6,0,0,0,0,0,0,0,0,12
1933-11-29,4,2,6,0,0,0,0,0,0,0,0,12
1933-12-30,5,2,5,0,0,0,0,0,0,0,0,12
1934-01-31,5,1,5,0,0,0,0,0,0,0,0,11
1934-02-28,4,2,7,0,0,0,0,0,0,0,0,13
1934-03-31,5,2,8,0,0,0,0,0,0,0,0,15
1934-04-30,4,0,15,0,0,0,0,0,0,0,0,19
1934-05-31,3,2,16,0,0,0,0,0,0,0,0,21
1934-06-30,5,2,14,0,0,0,0,0,0,0,0,21
1934-07-31,4,1,15,0,0,0,0,0,0,0,0,20
1934-08-31,3,2,16,0,0,0,0,0,0,0,0,21
1934-09-29,5,2,15,0,0,0,0,0,0,0,0,22
1934-10-31,3,1,18,0,0,0,0,0,0,0,0,22
1934-11-30,3,2,18,0,0,0,0,0,0,0,0,23
1934-12-31,4,2,18,0,0,0,0,0,0,0,0,24
1935-01-31,4,2,17,0,0,0,0,0,0,0,0,23
1935-02-28,5,2,16,0,0,0,0,0,0,0,0,23
1935-03-30,3,2,15,1,0,0,0,0,0,0,0,21
1935-04-30,0,3,14,5,0,0,0,0,0,0,0,22
1935-05-31,1,2,11,9,0,0,0,0,0,0,0,23
1935-06-29,0,0,13,9,0,0,0,0,0,0,0,22
1935-07-31,2,2,13,8,0,0,0,0,0,0,0,25
1935-08-31,4,2,16,9,0,0,0,0,0,0,0,31
1935-09-30,5,2,16,9,0,0,0,0,0,0,0,32
1935-10-30,2,1,18,9,0,0,0,0,0,0,0,30
1935-11-30,2,2,16,9,0,0,0,0,0,0,0,29
1935-12-31,3,3,10,9,0,0,0,0,0,0,0,25
1936-01-31,5,3,9,9,0,0,0,0,0,0,0,26
1936-02-29,5,0,12,9,0,0,0,0,0,0,0,26
1936-03-31,0,0,15,9,0,0,0,0,0,0,0,24
1936-04-30,0,0,15,9,0,0,0,0,0,0,0,24
1936-05-29,0,0,16,10,0,0,0,0,0,0,0,26
1936-06-30,0,0,19,9,0,0,0,0,0,0,0,28
1936-07-31,1,3,19,8,0,0,0,0,0,0,0,31
1936-08-31,7,2,18,5,0,0,0,0,0,0,0,32
1936-09-30,3,2,15,5,0,0,0,0,0,0,0,25
1936-10-31,3,2,14,7,0,0,0,0,0,0,0,26
1936-11-30,0,1,17,8,0,0,0,0,0,0,0,26
1936-12-31,0,2,14,8,0,0,0,0,0,0,0,24
1937-01-30,3,0,17,10,0,0,0,0,0,0,0,30
1937-02-27,0,2,19,8,0,0,0,0,0,0,0,29
1937-03-31,5,2,18,9,0,0,0,0,0,0,0,34
1937-04-30,1,3,19,9,0,0,0,0,0,0,0,32
1937-05-28,5,2,20,9,0,0,0,0,0,0,0,36
1937-06-30,5,2,21,8,0,0,0,0,0,0,0,36
1937-07-31,2,5,22,9,0,0,0,0,0,0,0,38
1937-08-31,7,3,21,9,0,0,0,0,0,0,0,40
1937-09-30,5,2,22,4,0,0,0,0,0,0,0,33
1937-10-30,5,5,21,9,0,0,0,0,0,0,0,40
1937-11-30,9,3,19,8,0,0,0,0,0,0,0,39
1937-12-31,5,2,22,3,0,0,0,0,0,0,0,32
1938-01-31,5,5,18,0,0,0,0,0,0,0,0,28
1938-02-28,8,2,14,0,0,0,0,0,0,0,0,24
1938-03-31,5,2,11,0,0,0,0,0,0,0,0,18
1938-04-30,5,6,5,0,0,0,0,0,0,0,0,16
1938-05-31,7,3,1,0,0,0,0,0,0,0,0,11
1938-06-30,5,2,2,0,0,0,0,0,0,0,0,9
1938-07-30,5,2,2,0,0,0,0,0,0,0,0,9
1938-08-31,5,2,0,0,0,0,0,0,0,0,0,7
1938-09-30,5,2,2,0,0,0,0,0,0,0,0,9
1938-10-31,5,0,0,0,0,0,0,0,0,0,0,5
1938-11-30,5,2,2,0,0,0,0,0,0,0,0,9
1938-12-31,5,2,2,0,0,0,0,0,0,0,0,9
1939-01-31,4,3,1,0,0,0,0,0,0,0,0,8
1939-02-28,4,3,2,0,0,0,0,0,0,0,0,9
1939-03-31,5,2,2,0,0,0,0,0,0,0,0,9
1939-04-29,5,2,2,0,0,0,0,0,0,0,0,9
1939-05-31,5,2,1,0,0,0,0,0,0,0,0,8
1939-06-30,5,2,2,0,0,0,0,0,0,0,0,9
1939-07-31,5,2,2,0,0,0,0,0,0,0,0,9
1939-08-31,4,2,2,0,0,0,0,0,0,0,0,8
1939-09-30,5,2,2,0,0,0,0,0,0,0,0,9
1939-10-31,4,3,1,0,0,0,0,0,0,0,0,8
1939-11-30,5,2,2,0,0,0,0,0,0,0,0,9
1939-12-30,5,2,2,0,0,0,0,0,0,0,0,9
1940-01-31,5,2,2,0,0,0,0,0,0,0,0,9
1940-02-29,5,2,2,0,0,0,0,0,0,0,0,9
1940-03-30,5,2,2,0,0,0,0,0,0,0,0,9
1940-04-30,4,3,1,0,0,0,0,0,0,0,0,8
1940-05-31,5,2,2,0,0,0,0,0,0,0,0,9
1940-06-29,5,2,2,0,0,0,0,0,0,0,0,9
1940-07-31,5,2,0,0,0,0,0,0,0,0,0,7
1940-08-31,5,2,2,0,0,0,0,0,0,0,0,9
1940-09-30,5,2,3,0,0,0,0,0,0,0,0,10
1940-10-31,5,2,1,0,0,0,0,0,0,0,0,8
1940-11-30,5,2,2,0,0,0,0,0,0,0,0,9
1940-12-31,3,3,1,0,0,0,0,0,0,0,0,7
1941-01-31,5,2,1,0,0,0,0,0,0,0,0,8
1941-02-28,5,2,2,0,0,0,0,0,0,0,0,9
1941-03-31,4,2,1,0,0,0,0,0,0,0,0,7
