quote_date,0-35 days,36-50 days,50days-6months,6mons-1year,1YR-3yr,3YR-5YR,5YR-7YR,7YR-10YR,10YR-15YR,15YR-20YR,20YR and beyond,Row_Total
1942-07-31,0,0,0,0,0,0,0,0,0,0,1,1
1942-08-31,0,0,0,0,0,0,0,0,0,0,1,1
1942-09-30,0,0,0,0,0,0,0,0,0,0,1,1
1942-10-31,0,0,0,0,0,0,0,0,0,0,1,1
1942-11-30,0,0,0,0,0,0,0,0,0,0,1,1
1942-12-31,0,0,0,0,0,0,0,0,0,0,2,2
1943-01-30,0,0,0,0,0,0,0,0,0,0,2,2
1943-02-27,0,0,0,0,0,0,0,0,0,0,2,2
1943-03-31,0,0,0,0,0,0,0,0,0,0,2,2
1943-04-30,0,0,0,0,0,0,0,0,0,0,2,2
1943-05-29,0,0,0,0,0,0,0,0,0,0,3,3
1943-06-30,0,0,0,0,0,0,0,0,0,0,3,3
1943-07-31,0,0,0,0,0,0,0,0,0,0,3,3
1943-08-31,0,0,0,0,0,0,0,0,0,0,3,3
1943-09-30,0,0,0,0,0,0,0,0,0,0,3,3
1943-10-30,0,0,0,0,0,0,0,0,0,0,4,4
1943-11-30,0,0,0,0,0,0,0,0,0,0,4,4
1943-12-31,0,0,0,0,0,0,0,0,0,0,4,4
1944-01-31,0,0,0,0,0,0,0,0,0,0,4,4
1944-02-29,0,0,0,0,0,0,0,0,0,1,5,6
1944-03-31,0,0,0,0,0,0,0,0,0,1,5,6
1944-04-29,0,0,0,0,0,0,0,0,0,1,5,6
1944-05-31,0,0,0,0,0,0,0,0,0,1,5,6
1944-06-30,0,0,0,0,0,0,0,0,0,1,5,6
1944-07-31,0,0,0,0,0,0,0,0,0,1,5,6
1944-08-31,0,0,0,0,0,0,0,0,0,1,5,6
1944-09-30,0,0,0,0,0,0,0,0,1,0,5,6
1944-10-31,0,0,0,0,0,0,0,0,1,0,5,6
1944-11-30,0,0,0,0,0,0,0,0,1,0,5,6
1944-12-30,0,0,0,0,0,0,0,0,1,0,6,7
1945-01-31,0,0,0,0,0,0,0,0,1,0,6,7
1945-02-28,0,0,0,0,0,0,0,0,1,0,6,7
1945-03-31,0,0,0,0,0,0,0,0,1,0,6,7
1945-04-30,0,0,0,0,0,0,0,0,1,0,6,7
1945-05-31,0,0,0,0,0,0,0,0,1,0,6,7
1945-06-30,0,0,0,0,0,0,0,0,1,0,6,7
1945-07-31,0,0,0,0,0,0,0,0,1,1,7,9
1945-08-31,0,0,0,0,0,0,0,0,1,1,7,9
1945-09-29,0,0,0,0,0,0,0,0,1,1,7,9
1945-10-31,0,0,0,0,0,0,0,0,1,1,7,9
1945-11-30,0,0,0,0,0,0,0,0,1,1,7,9
1945-12-31,0,0,0,0,0,0,0,0,1,2,8,11
1946-01-31,0,0,0,0,0,0,0,0,1,2,8,11
1946-02-28,0,0,0,0,0,0,0,0,1,2,8,11
1946-03-30,0,0,0,0,0,0,0,0,1,2,8,11
1946-04-30,0,0,0,0,0,0,0,0,1,2,8,11
1946-05-31,0,0,0,0,0,0,0,0,1,2,8,11
1946-06-28,0,0,0,0,0,0,0,0,1,2,8,11
1946-07-31,0,0,0,0,0,0,0,0,1,2,8,11
1946-08-30,0,0,0,0,0,0,0,0,1,2,8,11
1946-09-30,0,0,0,0,0,0,0,0,1,2,8,11
1946-10-31,0,0,0,0,0,0,0,0,1,2,8,11
1946-11-30,0,0,0,0,0,0,0,0,1,2,8,11
1946-12-31,0,0,0,0,0,0,0,0,1,2,8,11
1947-01-31,0,0,0,0,0,0,0,0,1,2,8,11
1947-02-28,0,0,0,0,0,0,0,0,1,2,8,11
1947-03-31,0,0,0,0,0,0,0,0,1,2,8,11
1947-04-30,0,0,0,0,0,0,0,0,1,2,8,11
1947-05-29,0,0,0,0,0,0,0,0,1,2,8,11
1947-06-30,0,0,0,0,0,0,0,0,2,2,7,11
1947-07-31,0,0,0,0,0,0,0,0,2,2,7,11
1947-08-29,0,0,0,0,0,0,0,0,2,2,7,11
1947-09-30,0,0,0,0,0,0,0,0,2,2,7,11
1947-10-31,0,0,0,0,0,0,0,0,2,2,7,11
1947-11-28,0,0,0,0,0,0,0,0,2,2,7,11
1947-12-31,0,0,0,0,0,0,0,0,3,1,7,11
1948-01-30,0,0,0,0,0,0,0,0,3,1,7,11
1948-02-27,0,0,0,0,0,0,0,0,3,1,7,11
1948-03-31,0,0,0,0,0,0,0,0,3,1,7,11
1948-04-30,0,0,0,0,0,0,0,0,3,1,7,11
1948-05-28,0,0,0,0,0,0,0,0,3,1,7,11
1948-06-30,0,0,0,0,0,0,0,0,3,1,7,11
1948-07-30,0,0,0,0,0,0,0,0,3,1,7,11
1948-08-31,0,0,0,0,0,0,0,0,3,1,7,11
1948-09-30,0,0,0,0,0,0,0,0,3,1,7,11
1948-10-29,0,0,0,0,0,0,0,0,3,1,7,11
1948-11-30,0,0,0,0,0,0,0,0,3,1,7,11
1948-12-31,0,0,0,0,0,0,0,0,3,2,6,11
1949-01-31,0,0,0,0,0,0,0,0,3,2,6,11
1949-02-28,0,0,0,0,0,0,0,0,3,2,6,11
1949-03-31,0,0,0,0,0,0,0,0,3,2,6,11
1949-04-29,0,0,0,0,0,0,0,0,3,2,6,11
1949-05-31,0,0,0,0,0,0,0,0,3,2,6,11
1949-06-30,0,0,0,0,0,0,0,0,3,3,5,11
1949-07-29,0,0,0,0,0,0,0,0,3,3,5,11
1949-08-31,0,0,0,0,0,0,0,0,3,3,5,11
1949-09-30,0,0,0,0,0,0,0,1,2,3,5,11
1949-10-31,0,0,0,0,0,0,0,1,2,3,5,11
1949-11-30,0,0,0,0,0,0,0,1,2,3,5,11
1949-12-30,0,0,0,0,0,0,0,1,2,4,4,11
1950-01-31,0,0,0,0,0,0,0,1,2,4,4,11
1950-02-28,0,0,0,0,0,0,0,1,2,4,4,11
1950-03-31,0,0,0,0,0,0,0,1,2,5,3,11
1950-04-28,0,0,0,0,0,0,0,1,2,5,3,11
1950-05-31,0,0,0,0,0,0,0,1,2,5,3,11
1950-06-30,0,0,0,0,0,0,0,1,2,5,3,11
1950-07-31,0,0,0,0,0,0,0,1,2,5,3,11
1950-08-31,0,0,0,0,0,0,0,1,2,5,3,11
1950-09-29,0,0,0,0,0,0,0,1,2,5,3,11
1950-10-31,0,0,0,0,0,0,0,1,2,5,3,11
1950-11-30,0,0,0,0,0,0,0,1,2,5,3,11
1950-12-29,0,0,0,0,0,0,0,1,2,5,3,11
1951-01-31,0,0,0,0,0,0,0,1,2,5,3,11
1951-02-28,0,0,0,0,0,0,0,1,2,5,3,11
1951-03-30,0,0,0,0,0,0,0,1,2,6,2,11
1951-04-30,0,0,0,0,0,0,0,1,2,6,2,11
1951-05-31,0,0,0,0,0,0,0,1,2,6,2,11
1951-06-29,0,0,0,0,0,0,0,1,2,6,2,11
1951-07-31,0,0,0,0,0,0,0,1,2,6,2,11
1951-08-31,0,0,0,0,0,0,0,1,2,6,2,11
1951-09-28,0,0,0,0,0,0,0,1,2,6,2,11
1951-10-31,0,0,0,0,0,0,0,1,2,6,2,11
1951-11-30,0,0,0,0,0,0,0,1,2,6,2,11
1951-12-31,0,0,0,0,0,0,0,1,2,6,2,11
1952-01-31,0,0,0,0,0,0,0,1,2,6,2,11
1952-02-29,0,0,0,0,0,0,0,1,2,6,2,11
1952-03-31,0,0,0,0,0,0,0,1,2,6,2,11
1952-04-30,0,0,0,0,0,0,0,1,2,6,2,11
1952-05-29,0,0,0,0,0,0,0,1,2,6,2,11
1952-06-30,0,0,0,0,0,0,0,2,2,6,1,11
1952-07-31,0,0,0,0,0,0,0,2,2,6,1,11
1952-08-29,0,0,0,0,0,0,0,2,2,6,1,11
1952-09-30,0,0,0,0,0,0,1,1,2,6,1,11
1952-10-31,0,0,0,0,0,0,1,1,2,6,1,11
1952-11-28,0,0,0,0,0,0,1,1,2,6,1,11
1952-12-31,0,0,0,0,0,0,1,2,1,7,0,11
1953-01-30,0,0,0,0,0,0,1,2,1,7,0,11
1953-02-27,0,0,0,0,0,0,1,2,1,7,0,11
1953-03-31,0,0,0,0,0,0,1,2,1,7,0,11
1953-04-30,0,0,0,0,0,0,1,2,1,7,1,12
1953-05-29,0,0,0,0,0,0,1,2,1,7,1,12
1953-06-30,0,0,0,0,0,0,1,2,1,7,1,12
1953-07-31,0,0,0,0,0,0,1,2,1,7,1,12
1953-08-31,0,0,0,0,0,0,1,2,1,7,1,12
1953-09-30,0,0,0,0,0,0,1,2,1,7,1,12
1953-10-30,0,0,0,0,0,0,1,2,1,7,1,12
1953-11-30,0,0,0,0,0,0,1,2,1,7,1,12
1953-12-31,0,0,0,0,0,0,1,2,2,6,1,12
1954-01-29,0,0,0,0,0,0,1,2,2,6,1,12
1954-02-26,0,0,0,0,0,0,1,2,2,6,1,12
1954-03-31,0,0,0,0,0,0,1,2,2,6,1,12
1954-04-30,0,0,0,0,0,0,1,2,2,6,1,12
1954-05-28,0,0,0,0,0,0,1,2,2,6,1,12
1954-06-30,0,0,0,0,0,0,1,2,3,5,1,12
