quote_date,0-35 days,36-50 days,50days-6months,6mons-1year,1YR-3yr,3YR-5YR,5YR-7YR,7YR-10YR,10YR-15YR,15YR-20YR,20YR and beyond,Row_Total,%_Callable,%_Call15+
1925-12-31,0,0,0,0,0,0,0,0,0,0,4,4,0.25,0.25
1926-01-30,0,0,0,0,0,0,0,0,0,1,3,4,0.25,0.25
1926-02-27,0,0,0,0,0,0,0,0,0,1,3,4,0.25,0.25
1926-03-31,0,0,0,0,0,0,0,0,0,1,3,4,0.25,0.25
1926-04-30,0,0,0,0,0,0,0,0,0,1,3,4,0.25,0.25
1926-05-28,0,0,0,0,0,0,0,0,0,1,3,4,0.25,0.25
1926-06-30,0,0,0,0,0,0,0,0,0,1,3,4,0.25,0.25
1926-07-31,0,0,0,0,0,0,0,0,0,1,3,4,0.25,0.25
1926-08-31,0,0,0,0,0,0,0,0,0,1,3,4,0.25,0.25
1926-09-30,0,0,0,0,0,0,0,0,0,1,3,4,0.25,0.25
1926-10-30,0,0,0,0,0,0,0,0,0,1,3,4,0.25,0.25
1926-11-30,0,0,0,0,0,0,0,0,0,1,3,4,0.25,0.25
1926-12-31,0,0,0,0,0,0,0,0,0,1,3,4,0.25,0.25
1927-01-31,0,0,0,0,0,0,0,0,0,2,2,4,0.25,0.25
1927-02-28,0,0,0,0,0,0,0,0,0,2,2,4,0.25,0.25
1927-03-31,0,0,0,0,0,0,0,0,0,2,2,4,0.25,0.25
1927-04-30,0,0,0,0,0,0,0,0,0,2,2,4,0.25,0.25
1927-05-31,0,0,0,0,0,0,0,0,0,2,2,4,0.25,0.25
1927-06-30,0,0,0,0,0,0,0,0,0,3,1,4,0.25,0.25
1927-07-30,0,0,0,0,0,0,0,0,0,3,1,4,0.25,0.25
1927-08-31,0,0,0,0,0,0,0,0,0,3,1,4,0.25,0.25
1927-09-30,0,0,0,0,0,0,0,0,0,3,1,4,0.25,0.25
1927-10-31,0,0,0,0,0,0,0,0,0,3,1,4,0.25,0.25
1927-11-30,0,0,0,0,0,0,0,0,0,3,1,4,0.25,0.25
1927-12-31,0,0,0,0,0,0,0,0,0,3,1,4,0.25,0.25
1928-01-31,0,0,0,0,0,0,0,0,0,3,1,4,0.25,0.25
1928-02-29,0,0,0,0,0,0,0,0,0,3,1,4,0.25,0.25
1928-03-31,0,0,0,0,0,0,0,0,0,3,1,4,0.25,0.25
1928-04-30,0,0,0,0,0,0,0,0,0,3,1,4,0.25,0.25
1928-05-31,0,0,0,0,0,0,0,0,0,3,1,4,0.25,0.25
1928-06-30,0,0,0,0,0,0,0,0,0,3,1,4,0.25,0.25
1928-07-31,0,0,0,0,0,0,0,0,0,3,1,4,0.25,0.25
1928-08-31,0,0,0,0,0,0,0,0,0,3,1,4,0.25,0.25
1928-09-29,0,0,0,0,0,0,0,0,0,3,1,4,0.25,0.25
1928-10-31,0,0,0,0,0,0,0,0,0,3,1,4,0.25,0.25
