type_ind,quotedate_ind,type,quotedate_jul,breaks,rates,quotedate_ymd
pwcf,19860131,pwcf,[31442.],"[31448. 31455. 31462. 31469. 31476. 31491. 31531. 31623. 31807. 32172.
 32902. 34362. 37282. 40202. 50202.]","[0.0601252 0.0695447 0.0770491 0.0561347 0.0810042 0.0797219 0.0729739
 0.0753537 0.0792373 0.0839177 0.0922958 0.0970405 0.1097592 0.0930291
 0.0588897]",19860131
pwcf,19860228,pwcf,[31470.],"[31476. 31483. 31490. 31497. 31504. 31522. 31562. 31654. 31835. 32200.
 32930. 34390. 37310. 40230. 50230.]","[0.0641011 0.0760939 0.0688801 0.0531326 0.090506  0.0767064 0.0737661
 0.0740243 0.0758271 0.0806013 0.0841588 0.0826953 0.0914892 0.0893131
 0.0591794]",19860228
pwcf,19860331,pwcf,[31501.],"[31511. 31518. 31525. 31532. 31539. 31552. 31592. 31684. 31866. 32231.
 32961. 34421. 37341. 40261. 50261.]","[0.0650685 0.0828411 0.0466527 0.0598936 0.0759719 0.0673909 0.065414
 0.0654619 0.0712998 0.0721629 0.0781438 0.0750097 0.082092  0.078211
 0.05959  ]",19860331
pwcf,19860430,pwcf,[31531.],"[31539. 31546. 31553. 31560. 31567. 31583. 31623. 31715. 31896. 32261.
 32991. 34451. 37371. 40291. 50291.]","[0.0564793 0.0661966 0.0558545 0.042632  0.07877   0.0649801 0.0651523
 0.0642164 0.0684445 0.0740295 0.0780315 0.0765599 0.0835232 0.0866152
 0.033611 ]",19860430
pwcf,19860530,pwcf,[31561.],"[31567. 31574. 31581. 31588. 31595. 31613. 31653. 31745. 31927. 32292.
 33022. 34482. 37402. 40322. 50322.]","[0.0552187 0.0712346 0.0630396 0.0443367 0.0776598 0.0670511 0.0662766
 0.0681108 0.0715713 0.0797542 0.0892501 0.0824357 0.0934786 0.086222
 0.0025206]",19860530
pwcf,19860630,pwcf,[31592.],"[31602. 31609. 31616. 31623. 31630. 31644. 31684. 31776. 31957. 32322.
 33052. 34512. 37432. 40352. 50352.]","[0.0609827 0.0608152 0.0595988 0.0569695 0.0707772 0.0613501 0.0625127
 0.0632444 0.0677319 0.0740164 0.0813684 0.0769209 0.0871168 0.0819513
 0.0196241]",19860630
pwcf,19860731,pwcf,[31623.],"[31630. 31637. 31644. 31651. 31658. 31675. 31715. 31807. 31988. 32353.
 33083. 34543. 37463. 40383. 50383.]","[0.0585625 0.0409279 0.049173  0.0425555 0.0948646 0.062268  0.0608531
 0.0608977 0.0653644 0.0709051 0.0790418 0.0791533 0.0934569 0.0847371
 0.0146959]",19860731
pwcf,19860829,pwcf,[31652.],"[31658. 31665. 31672. 31679. 31686. 31703. 31743. 31835. 32019. 32384.
 33114. 34574. 37494. 40414. 50414.]","[0.0490755 0.0358309 0.0511907 0.0344389 0.0889518 0.0541289 0.0530039
 0.0536173 0.0580073 0.064674  0.072756  0.076042  0.0895794 0.0815515
 0.0299438]",19860829
pwcf,19860930,pwcf,[31684.],"[31693. 31700. 31707. 31714. 31721. 31734. 31774. 31866. 32049. 32414.
 33144. 34604. 37524. 40444. 50444.]","[0.0519993 0.0532499 0.0526363 0.0491071 0.0563277 0.0556751 0.0527817
 0.0579564 0.0616176 0.0705245 0.079343  0.0812404 0.0964489 0.0859257
 0.014837 ]",19860930
pwcf,19861031,pwcf,[31715.],"[31721. 31728. 31735. 31743. 31749. 31764. 31804. 31896. 32080. 32445.
 33175. 34635. 37555. 40475. 50475.]","[0.0388108 0.0399918 0.0702163 0.0564777 0.0515014 0.049761  0.0566314
 0.0551529 0.0612072 0.0670518 0.0751465 0.0806665 0.0939269 0.0884943
 0.0132818]",19861031
pwcf,19861128,pwcf,[31743.],"[31749. 31756. 31763. 31771. 31778. 31795. 31835. 31927. 32110. 32475.
 33205. 34665. 37585. 40505. 50505.]","[0.0527176 0.0467739 0.048987  0.0593034 0.0423975 0.0623468 0.0577844
 0.0573603 0.0594669 0.0656233 0.072354  0.0787345 0.0914225 0.0911464
 0.008748 ]",19861128
pwcf,19861231,pwcf,[31776.],"[31784. 31791. 31798. 31805. 31812. 31825. 31865. 31957. 32141. 32506.
 33236. 34696. 37616. 40536. 50536.]","[0.0465875 0.0361916 0.0766567 0.0305043 0.0701451 0.0670347 0.0625116
 0.0583842 0.0623966 0.0682362 0.0720803 0.0784494 0.091684  0.0957799
 0.0048552]",19861231
pwcf,19870130,pwcf,[31806.],"[31812. 31819. 31826. 31833. 31840. 31856. 31896. 31988. 32172. 32537.
 33267. 34727. 37647. 40567. 50567.]","[0.0555319 0.0534552 0.0550917 0.0539542 0.0648035 0.05839   0.0588121
 0.0579467 0.0614045 0.0664687 0.0712836 0.077582  0.0900744 0.09586
 0.004038 ]",19870130
pwcf,19870227,pwcf,[31834.],"[31840. 31847. 31854. 31861. 31868. 31887. 31927. 32019. 32201. 32566.
 33296. 34756. 37676. 40596. 50596.]","[0.0554265 0.0549004 0.0585133 0.0459722 0.0573289 0.0597119 0.0567832
 0.0576242 0.0634513 0.0668924 0.0711677 0.0767215 0.0875194 0.0920918
 0.0197537]",19870227
pwcf,19870331,pwcf,[31866.],"[31875. 31882. 31889. 31896. 31903. 31917. 31957. 32049. 32232. 32597.
 33327. 34787. 37707. 40627. 50627.]","[0.042338  0.0640689 0.0553338 0.0521064 0.0578296 0.0522392 0.0620779
 0.0612935 0.0652342 0.0700278 0.0733387 0.0809865 0.089684  0.0909772
 0.0340595]",19870331
pwcf,19870430,pwcf,[31896.],"[31903. 31910. 31917. 31924. 31931. 31948. 31988. 32080. 32262. 32627.
 33357. 34817. 37737. 40657. 50657.]","[ 0.0494956  0.0537088  0.0463661 -0.0469023  0.1478229  0.0572809
  0.0629165  0.0652179  0.0769044  0.0796388  0.0830279  0.0864441
  0.0947197  0.0902136  0.0521156]",19870430
