type_ind,quotedate_ind,type,quotedate_jul,breaks,rates,quotedate_ymd
pwcf,19251231,pwcf,[9496.],"[ 9496.  9496.  9496.  9496.  9496.  9545.  9585.  9677.  9861. 10226.
 10956. 12416. 15336. 18256.]","[0.0367606 0.0367606 0.0367606 0.0367606 0.0367606 0.0367606 0.0367606
 0.0360778 0.0390063 0.0400016 0.0400016 0.0396003 0.0364716 0.0364716]",19251231
pwcf,19260130,pwcf,[9526.],"[ 9526.  9526.  9526.  9526.  9526.  9575.  9615.  9707.  9891. 10256.
 10986. 12446. 15366. 18286.]","[0.0340189 0.0340189 0.0340189 0.0340189 0.0340189 0.0340189 0.0340189
 0.0340189 0.0419691 0.0385416 0.0385416 0.0395478 0.0354555 0.0354555]",19260130
pwcf,19260227,pwcf,[9554.],"[ 9554.  9554.  9554.  9554.  9554.  9603.  9643.  9735.  9919. 10284.
 11014. 12474. 15394. 18314.]","[0.0334487 0.0334487 0.0334487 0.0334487 0.0334487 0.0334487 0.0334487
 0.0334487 0.0418829 0.038534  0.038534  0.0401182 0.0349705 0.0349705]",19260227
pwcf,19260331,pwcf,[9586.],"[ 9586.  9586.  9586.  9586.  9586.  9635.  9675.  9767.  9951. 10316.
 11046. 12506. 15426. 18346.]","[0.032726  0.032726  0.032726  0.032726  0.032726  0.032726  0.032726
 0.032726  0.0410759 0.0381241 0.0381241 0.0410162 0.0350904 0.0350904]",19260331
pwcf,19260430,pwcf,[9616.],"[ 9616.  9616.  9616.  9616.  9616.  9665.  9705.  9797.  9981. 10346.
 11076. 12536. 15456. 18376.]","[0.0307042 0.0307042 0.0307042 0.0307042 0.0307042 0.0307042 0.0307042
 0.0307042 0.0420395 0.0361886 0.0361886 0.040911  0.0351044 0.0351044]",19260430
pwcf,19260528,pwcf,[9644.],"[ 9644.  9644.  9644.  9644.  9644.  9693.  9733.  9825. 10009. 10374.
 11104. 12564. 15484. 18404.]","[0.0323273 0.0323273 0.0323273 0.0323273 0.0323273 0.0323273 0.0323273
 0.0323273 0.0386309 0.0380943 0.0380943 0.0384184 0.0353962 0.0353962]",19260528
pwcf,19260630,pwcf,[9677.],"[ 9677.  9677.  9677.  9677.  9677.  9726.  9766.  9858. 10042. 10407.
 11137. 12597. 15517. 18437.]","[0.0284079 0.0284079 0.0284079 0.0284079 0.0284079 0.0284079 0.0284079
 0.0382765 0.0382765 0.0363588 0.0388444 0.0388444 0.0349161 0.0349161]",19260630
pwcf,19260731,pwcf,[9708.],"[ 9708.  9708.  9708.  9708.  9708.  9757.  9797.  9889. 10073. 10438.
 11168. 12628. 15548. 18468.]","[0.0310957 0.0310957 0.0310957 0.0310957 0.0310957 0.0310957 0.0356697
 0.0356697 0.0356697 0.0369721 0.0396122 0.0396122 0.035036  0.035036 ]",19260731
pwcf,19260831,pwcf,[9739.],"[ 9739.  9739.  9739.  9739.  9739.  9788.  9828.  9920. 10104. 10469.
 11199. 12659. 15579. 18499.]","[0.0348246 0.0348246 0.0348246 0.0348246 0.0348246 0.0348246 0.0348246
 0.0348246 0.0348246 0.0376511 0.0402953 0.0402953 0.034581  0.034581 ]",19260831
pwcf,19260930,pwcf,[9769.],"[ 9769.  9769.  9769.  9769.  9769.  9818.  9858.  9950. 10134. 10499.
 11229. 12689. 15609. 18529.]","[0.036404  0.036404  0.036404  0.036404  0.036404  0.036404  0.036404
 0.037609  0.037609  0.0384961 0.0384961 0.0384961 0.0353937 0.0353937]",19260930
