ctype,quotedate,0.0833YR,0.25YR,0.5YR,1.0YR,2.0YR,3.0YR,5.0YR,7.0YR,10.0YR,20.0YR,30.0YR,Max,Min
pwcf,19251231.0,-5422.254296232743,-1865.2562658135005,-925.661635045387,-457.0603836252467,-226.53011181262335,-149.54646264891883,-88.16949279475084,-61.83133043144898,-42.167442470759866,-19.257005396744013,-12.35427640989459,-12.35427640989459,-5422.254296232743
pwcf,19260130.0,-5796.730559766036,-1865.529677146834,-925.9010991890332,-457.03195214579466,-226.58842655234935,-149.63405914526916,-88.2522813380148,-61.891952109196346,-42.230663902851866,-19.33942374034429,-12.42239386905312,-12.42239386905312,-5796.730559766036
pwcf,19260227.0,-6003.93516725768,-1886.5859282383717,-925.9581191890334,-457.0716380636029,-226.60866027837676,-149.64778978395532,-88.24927289332697,-61.8734970212026,-42.22176502004793,-19.35922822768173,-12.442042292891765,-12.442042292891765,-6003.93516725768
pwcf,19260331.0,-5603.5221014405015,-1845.1212576177477,-915.8740723672954,-457.1434900362055,-226.3502487048085,-149.69936327848086,-88.2703132492963,-61.862850126404,-42.19060864856694,-19.343912294759075,-12.42942381029522,-12.42942381029522,-5603.5221014405015
pwcf,19260430.0,-5422.859936232743,-1825.232200034946,-911.0808900174732,-457.1999145567535,-226.4753297581601,-149.84724649015968,-88.39976698423607,-61.95830286007627,-42.258187405752814,-19.37700639469063,-12.45129964530161,-12.45129964530161,-5422.859936232743
pwcf,19260528.0,-5422.697626232743,-1825.0698900349464,-910.9185800174732,-457.29057576223295,-226.42496278141596,-149.7501878131524,-88.35353620657996,-61.99654754525421,-42.303623332388455,-19.385139465190285,-12.451877882206157,-12.451877882206157,-5422.697626232743
pwcf,19260630.0,-5423.089566232743,-1825.4618300349464,-910.8170900174732,-457.2535340088082,-226.49324113982905,-149.77074696461224,-88.34233158445511,-61.97636755307588,-42.29514645037368,-19.40490215786653,-12.472396214018527,-12.472396214018527,-5423.089566232743
pwcf,19260731.0,-5422.820786232743,-1824.9941804697287,-910.7136052348644,-457.3306350499043,-226.50101083887145,-149.7503591452692,-88.29939924601042,-61.92375878107745,-42.24828621495074,-19.37547465341753,-12.451186744224769,-12.451186744224769,-5422.820786232743
pwcf,19260831.0,-5603.312241440502,-1844.9113976177475,-925.8205291890332,-457.3499812142877,-226.4766736842887,-149.71137774928377,-88.24869283308598,-61.86801982135904,-42.21161237153437,-19.379882107216297,-12.460166389232985,-12.460166389232985,-5603.312241440502
pwcf,19260930.0,-5422.289956232744,-1824.6596004697287,-920.4956167209618,-457.1012535430549,-226.31053390316697,-149.6604859792108,-88.29007520986585,-61.94900759609505,-42.26987292176705,-19.36838693267831,-12.44171228264419,-12.44171228264419,-5422.289956232744
pwcf,19261030.0,-5422.375866232744,-1824.682842861033,-920.5387172704123,-457.15453162524665,-226.49471900576611,-149.77088676388232,-88.34140005104877,-61.97497618819517,-42.29741078379826,-19.415013250269,-12.481204361490692,-12.481204361490692,-5422.375866232744
pwcf,19261130.0,-5422.531226232743,-1865.5324371468332,-920.7977988088736,-457.43331121428776,-226.48650826705205,-149.7806731689918,-88.36559599847482,-62.00535691952095,-42.34509096173421,-19.49303918456058,-12.547926938603307,-12.547926938603307,-5422.531226232743
pwcf,19261231.0,-5422.795036232744,-1865.7962471468336,-926.1676691890332,-457.7005542005891,-226.66324736417928,-149.93130307775093,-88.49532139825578,-62.12610980180487,-42.4305698886436,-19.51381750625805,-12.555944180800788,-12.555944180800788,-5422.795036232744
